date,gold,silver,gold_valid,silver_valid,both_valid,gold_silver_ratio
1968-01-02,,2.173,False,True,False,
1968-01-03,,2.225,False,True,False,
1968-01-04,,2.171,False,True,False,
1968-01-05,,2.157,False,True,False,
1968-01-08,,2.163,False,True,False,
1968-01-09,,2.109,False,True,False,
1968-01-10,,2.085,False,True,False,
1968-01-11,,2.094,False,True,False,
1968-01-12,,2.127,False,True,False,
1968-01-15,,2.114,False,True,False,
1968-01-16,,2.069,False,True,False,
1968-01-17,,2.067,False,True,False,
1968-01-18,,2.058,False,True,False,
1968-01-19,,2.078,False,True,False,
1968-01-22,,2.088,False,True,False,
1968-01-23,,2.08,False,True,False,
1968-01-24,,2.064,False,True,False,
1968-01-25,,2.018,False,True,False,
1968-01-26,,2.069,False,True,False,
1968-01-29,,2.039,False,True,False,
1968-01-30,,2.019,False,True,False,
1968-01-31,,1.96,False,True,False,
1968-02-01,,1.995,False,True,False,
1968-02-02,,2.02,False,True,False,
1968-02-05,,2.0,False,True,False,
1968-02-06,,1.948,False,True,False,
1968-02-07,,1.965,False,True,False,
1968-02-08,,1.979,False,True,False,
1968-02-09,,1.938,False,True,False,
1968-02-12,,1.929,False,True,False,
1968-02-13,,1.923,False,True,False,
1968-02-14,,1.919,False,True,False,
1968-02-15,,1.939,False,True,False,
1968-02-16,,1.999,False,True,False,
1968-02-19,,1.969,False,True,False,
1968-02-20,,1.98,False,True,False,
1968-02-21,,2.03,False,True,False,
1968-02-22,,2.029,False,True,False,
1968-02-23,,2.017,False,True,False,
1968-02-26,,2.065,False,True,False,
1968-02-27,,2.105,False,True,False,
1968-02-28,,2.105,False,True,False,
1968-02-29,,2.084,False,True,False,
1968-03-01,,2.2,False,True,False,
1968-03-04,,2.19,False,True,False,
1968-03-05,,2.188,False,True,False,
1968-03-06,,2.134,False,True,False,
1968-03-07,,2.189,False,True,False,
1968-03-08,,2.228,False,True,False,
1968-03-11,,2.197,False,True,False,
1968-03-12,,2.222,False,True,False,
1968-03-13,,2.37,False,True,False,
1968-03-14,,2.49,False,True,False,
1968-03-18,,2.119,False,True,False,
1968-03-19,,2.404,False,True,False,
1968-03-20,,2.237,False,True,False,
1968-03-21,,2.303,False,True,False,
1968-03-22,,2.218,False,True,False,
1968-03-25,,2.241,False,True,False,
1968-03-26,,2.243,False,True,False,
