date,gold_usd,silver_usd,gold_silver_ratio,source,currency,audusd,fx_source,weekday,tradable_day,economic_gap,us10y,us10y_3m_change,us10y_12m_change,us10y_rising_3m,us10y_falling_3m,sp500_price,sp500_3m_return,sp500_12m_return,sp500_total_return
1968-04-01,37.7,2.259,16.688800354139,historical,USD,,,0,True,False,5.64,0.0099999999999997,1.0999999999999996,True,False,92.4800033569336,,,
1968-04-02,37.3,2.202,16.939146230699365,historical,USD,,,1,True,False,5.62,0.1100000000000003,1.0600000000000005,True,False,92.63999938964844,,,
1968-04-03,37.6,2.195,17.12984054669704,historical,USD,,,2,True,False,5.49,0.0099999999999997,0.8799999999999999,True,False,93.47000122070312,,,
1968-04-04,36.95,2.125,17.38823529411765,historical,USD,,,3,True,False,5.52,0.0199999999999995,0.8899999999999997,True,False,93.83999633789062,,,
1968-04-05,37.0,2.104,17.585551330798477,historical,USD,,,4,True,False,5.52,0.0,0.8899999999999997,False,False,93.29000091552734,,,
1968-04-08,37.05,2.134,17.361761949390814,historical,USD,,,0,True,False,5.54,0.08,0.91,True,False,94.9499969482422,,,
1968-04-09,37.5,2.205,17.006802721088434,historical,USD,,,1,True,False,,,,False,False,,,,
1968-04-10,37.7,2.203,17.1130276895143,historical,USD,,,2,True,False,5.53,0.1000000000000005,0.8500000000000005,True,False,95.66999816894533,,,
1968-04-11,38.0,2.161,17.584451642757983,historical,USD,,,3,True,False,5.54,0.0499999999999998,0.8300000000000001,True,False,96.52999877929688,,,
1968-04-16,38.0,2.253,16.866400355082114,historical,USD,,,1,True,False,5.62,0.0700000000000002,0.8399999999999999,True,False,96.62000274658205,,,
1968-04-17,37.8,2.303,16.41337386018237,historical,USD,,,2,True,False,5.62,0.0300000000000002,0.8500000000000005,True,False,96.80999755859376,,,
1968-04-18,37.55,2.232,16.82347670250896,historical,USD,,,3,True,False,5.64,0.0299999999999993,0.8899999999999997,True,False,97.08000183105467,,,
1968-04-19,37.65,2.281,16.505918456817184,historical,USD,,,4,True,False,5.76,0.2000000000000001,1.0099999999999998,True,False,95.8499984741211,,,
1968-04-22,38.0,2.36,16.10169491525424,historical,USD,,,0,True,False,5.78,0.2200000000000006,1.0200000000000005,True,False,95.31999969482422,,,
1968-04-23,38.4,2.36,16.271186440677965,historical,USD,,,1,True,False,5.73,0.2100000000000008,0.9600000000000009,True,False,96.62000274658205,,,
1968-04-24,38.25,2.299,16.63766855154415,historical,USD,,,2,True,False,5.72,0.1899999999999995,0.8899999999999997,True,False,96.91999816894533,,,
1968-04-25,38.3,2.308,16.594454072790295,historical,USD,,,3,True,False,5.72,0.1899999999999995,0.8499999999999996,True,False,96.62000274658205,,,
1968-04-26,38.65,2.327,16.609368285345937,historical,USD,,,4,True,False,5.71,0.1799999999999997,0.8399999999999999,True,False,97.20999908447266,,,
1968-04-29,38.75,2.396,16.17278797996661,historical,USD,,,0,True,False,5.73,0.1900000000000004,0.8900000000000006,True,False,97.97000122070312,,,
1968-04-30,39.1,2.397,16.312056737588655,historical,USD,,,1,True,False,5.74,0.1600000000000001,0.92,True,False,97.45999908447266,,,
1968-05-01,39.2,2.357,16.63131098854476,historical,USD,,,2,True,False,5.73,0.1500000000000003,0.8700000000000001,True,False,97.97000122070312,,,
1968-05-02,39.45,2.297,17.17457553330431,historical,USD,,,3,True,False,5.76,0.1600000000000001,0.8899999999999997,True,False,98.58999633789062,,,
1968-05-03,39.1,2.315,16.889848812095032,historical,USD,,,4,True,False,5.8,0.1899999999999995,0.92,True,False,98.66000366210938,,,
1968-05-06,39.75,2.335,17.02355460385439,historical,USD,,,0,True,False,5.78,0.1900000000000004,0.9000000000000004,True,False,98.3499984741211,,,
1968-05-07,39.3,2.245,17.50556792873051,historical,USD,,,1,True,False,5.79,0.1900000000000004,0.9000000000000004,True,False,98.9000015258789,,,
1968-05-08,39.75,2.321,17.126238690219733,historical,USD,,,2,True,False,5.8,0.2099999999999999,0.8599999999999994,True,False,98.91000366210938,,,
1968-05-09,39.7,2.319,17.119448037947393,historical,USD,,,3,True,False,5.79,,0.8499999999999996,False,False,98.38999938964844,,,
1968-05-10,39.6,2.361,16.772554002541295,historical,USD,,,4,True,False,5.79,0.2400000000000002,0.8600000000000003,True,False,98.5,,,
1968-05-13,39.5,2.359,16.744383213225944,historical,USD,,,0,True,False,5.79,0.25,0.8700000000000001,True,False,98.19000244140624,,,
1968-05-14,39.8,2.379,16.72971836906263,historical,USD,,,1,True,False,5.82,0.3100000000000005,0.96,True,False,98.12000274658205,,,
1968-05-15,40.25,2.401,16.76384839650146,historical,USD,,,2,True,False,5.85,0.3499999999999996,1.0099999999999998,True,False,98.06999969482422,,,
1968-05-16,41.25,2.459,16.775111834078892,historical,USD,,,3,True,False,5.9,0.3700000000000001,,True,False,97.5999984741211,,,
1968-05-17,41.5,2.505,16.56686626746507,historical,USD,,,4,True,False,5.92,0.3799999999999999,1.1100000000000003,True,False,96.9000015258789,,,
1968-05-20,42.3,2.506,16.87948922585794,historical,USD,,,0,True,False,5.96,0.4199999999999999,1.1500000000000004,True,False,96.4499969482422,,,
1968-05-21,42.4,2.554,16.601409553641346,historical,USD,,,1,True,False,6.02,,1.1999999999999993,False,False,96.93000030517578,,,
