checkpoint,image_name,dice,gt_pixels,pred_pixels,max_probability,mean_probability,saliency_inside_gt,saliency_outside_gt,saliency_concentration
day35,cju76o55nymqd0871h31sph9w.jpg,0.0,482,15173,0.9949414134025574,0.25155115127563477,0.01847129501402378,0.01425790786743164,1.295512299964884
day35,cju887ftknop008177nnjt46y.jpg,0.0,2525,2130,0.8981397151947021,0.0804000198841095,0.0411507673561573,0.021995658054947853,1.8708586600754402
day35,cju35k2fr3vc50988c85qkrwg.jpg,0.0,4534,0,0.43424978852272034,0.022656274959445,0.04321781545877457,0.011668228544294834,3.7038883232970155
day35,cju1egh885m1l0855ci1lt37c.jpg,0.0,1750,299,0.8102749586105347,0.030270714312791824,0.0016641346737742424,0.012519290670752525,0.1329256359277592
day35,cju2zpw4q9vzr0801p0lysjdl.jpg,0.0,2198,2399,0.9661721587181091,0.06257207691669464,0.04676152020692825,0.01916673593223095,2.439722672251861
day35,cju2saez63gxl08559ucjq3kt.jpg,0.0,8945,422,0.8037502765655518,0.029909715056419373,0.04185064509510994,0.007357362657785416,5.688267255770573
day37_baseline,cju76o55nymqd0871h31sph9w.jpg,0.0,482,7058,0.9624472856521606,0.14753013849258423,0.022705260664224625,0.022181933745741844,1.0235924840675013
day37_baseline,cju887ftknop008177nnjt46y.jpg,0.03619909502262444,2525,348,0.8181200623512268,0.03701844811439514,0.04574050009250641,0.013201515190303326,3.46479168740444
day37_baseline,cju35k2fr3vc50988c85qkrwg.jpg,0.18094282848545637,4534,451,0.7267659902572632,0.026239199563860893,0.0365530401468277,0.0033105076290667057,11.041521193271706
day37_baseline,cju1egh885m1l0855ci1lt37c.jpg,0.0,1750,153,0.7757226824760437,0.020578257739543915,0.02419557236135006,0.012239644303917885,1.9768198944805206
day37_baseline,cju2zpw4q9vzr0801p0lysjdl.jpg,0.0,2198,0,0.4237881302833557,0.02142488956451416,0.09271137416362762,0.029918678104877472,3.098779091731109
day37_baseline,cju2saez63gxl08559ucjq3kt.jpg,0.03966253971732223,8945,182,0.6869881749153137,0.023420080542564392,0.05654033645987511,0.006948254071176052,8.137344414969725
