entry_threshold,exit_threshold,entry_year,trades,wins,losses,win_rate,total_pnl,compound_trade_return,avg_trade_return,median_trade_return,best_trade,worst_trade,avg_holding_days,exit_years
1.75,2.25,2024,1,1,0,1.0,3821.7703349282287,0.38217703349282295,0.3821770334928229,0.3821770334928229,0.3821770334928229,0.3821770334928229,86.0,2024
1.75,2.5,2024,1,1,0,1.0,5747.607655502394,0.5747607655502394,0.5747607655502394,0.5747607655502394,0.5747607655502394,0.5747607655502394,96.0,2024
1.75,2.75,2024,1,1,0,1.0,6459.330143540669,0.6459330143540669,0.6459330143540669,0.6459330143540669,0.6459330143540669,0.6459330143540669,97.0,2024
1.75,3.0,2024,1,1,0,1.0,8528.708133971293,0.8528708133971292,0.8528708133971292,0.8528708133971292,0.8528708133971292,0.8528708133971292,119.0,2024
2.0,2.25,2024,2,2,0,1.0,3417.9302269036643,0.3417930226903667,0.15847415109673604,0.15847415109673604,0.1748856126080324,0.1420626895854397,63.5,2024
2.0,2.5,2024,2,2,0,1.0,9361.458504145497,0.9361458504145499,0.3924985979480436,0.3924985979480436,0.4464105156723965,0.3385866802236907,77.5,2024
2.0,2.75,2024,2,2,0,1.0,9932.36223779315,0.9932362237793151,0.41187814305093695,0.41187814305093695,0.4246713852376138,0.3990849008642601,78.5,2024
2.0,3.0,2024,2,2,0,1.0,15519.890118193878,1.551989011819388,0.5976554247202193,0.5976554247202193,0.6203235591506573,0.5749872902897812,118.0,2024
2.25,2.5,2023,3,3,0,1.0,6393.826245218374,0.6393826245218377,0.17926641980380284,0.1819444444444442,0.200091575091575,0.1557632398753894,26.0,2023
2.25,2.5,2024,2,2,0,1.0,9593.371580641111,0.585181972600157,0.26054345154523934,0.26054345154523934,0.3220887245841035,0.1989981785063752,92.5,2024
2.25,2.75,2023,2,2,0,1.0,6368.487246324362,0.6368487246324361,0.2793938927116497,0.2793938927116497,0.2794837561192702,0.2793040293040292,53.0,2023
2.25,2.75,2024,2,2,0,1.0,10343.63357945678,0.6319236117424047,0.2777028642229695,0.2777028642229695,0.3022181146025877,0.2531876138433513,93.5,2024
2.25,3.0,2023,2,2,0,1.0,7742.0932427608,0.7742093242760801,0.3344416486939852,0.3344416486939852,0.4152202937249667,0.2536630036630036,105.5,2023
2.25,3.0,2024,2,2,0,1.0,19328.088257581738,1.0893916514314377,0.4459002084111928,0.4459002084111928,0.4810536044362292,0.4107468123861564,133.0,2024
2.5,2.75,2023,5,5,0,1.0,9456.506035793338,0.9456506035793342,0.14268285215890827,0.1310149615851195,0.1870355078447563,0.1131474103585659,34.2,"2023,2024"
2.5,2.75,2024,3,3,0,1.0,9438.898811053159,0.48512815166756096,0.14097061576962336,0.1381260096930534,0.155528554070474,0.1292572835453427,72.66666666666667,2024
2.5,3.0,2023,3,3,0,1.0,8660.611665846678,0.866061166584668,0.2355691361111157,0.3029062627916494,0.3129644921552437,0.0908366533864541,89.33333333333333,"2023,2024"
2.5,3.0,2024,2,2,0,1.0,12045.806002073372,0.6455204265420753,0.28283080974979835,0.28283080974979835,0.2944264943457189,0.2712351251538778,141.5,2024
