unique_event_key,old_contract,new_contract,actual_roll_date,deferred_new_entry_date,roll_number_min,roll_number_max,strategy_trade_count,trade_ids,feasible,feasibility_state_consistent,status_values
NGH4|NGJ4|2024-02-22|2024-02-28,NGH4,NGJ4,2024-02-22,2024-02-28,1,2,13,T001;T002;T003;T004;T005;T007;T009;T011;T016;T020;T024;T031;T037,True,True,FULLY_RECONCILED
NGJ4|NGK4|2024-03-21|2024-03-27,NGJ4,NGK4,2024-03-21,2024-03-27,2,3,13,T001;T002;T003;T004;T005;T007;T009;T011;T016;T020;T024;T031;T037,True,True,FULLY_RECONCILED
NGK4|NGM4|2024-04-23|2024-04-28,NGK4,NGM4,2024-04-23,2024-04-28,3,4,13,T001;T002;T003;T004;T005;T007;T009;T011;T016;T020;T024;T031;T037,True,True,FULLY_RECONCILED
NGM4|NGN4|2024-05-24|2024-05-30,NGM4,NGN4,2024-05-24,2024-05-30,4,5,4,T004;T011;T024;T037,True,True,FULLY_RECONCILED
NGU4|NGV4|2024-08-25|2024-08-29,NGU4,NGV4,2024-08-25,2024-08-29,1,2,9,T006;T008;T010;T012;T017;T021;T025;T032;T038,True,False,DEFERRED_INFEASIBLE_BEFORE_EXIT;FULLY_RECONCILED
NGV4|NGX4|2024-09-23|NA,NGV4,NGX4,2024-09-23,,2,3,5,T008;T010;T017;T021;T032,False,True,DEFERRED_INFEASIBLE_BEFORE_EXIT
NGV4|NGX4|2024-09-23|2024-09-27,NGV4,NGX4,2024-09-23,2024-09-27,2,3,3,T012;T025;T038,True,True,FULLY_RECONCILED
NGX4|NGZ4|2024-10-25|2024-10-30,NGX4,NGZ4,2024-10-25,2024-10-30,3,4,3,T012;T025;T038,True,True,FULLY_RECONCILED
NGJ3|NGK3|2023-03-24|2023-03-30,NGJ3,NGK3,2023-03-24,2023-03-30,1,1,5,T014;T019;T023;T027;T035,True,False,DEFERRED_INFEASIBLE_BEFORE_EXIT;FULLY_RECONCILED
NGK3|NGM3|2023-04-23|2023-04-27,NGK3,NGM3,2023-04-23,2023-04-27,2,2,5,T014;T019;T023;T027;T035,True,False,DEFERRED_INFEASIBLE_BEFORE_EXIT;FULLY_RECONCILED
NGQ4|NGU4|2024-07-24|2024-07-30,NGQ4,NGU4,2024-07-24,2024-07-30,1,1,5,T017;T021;T025;T032;T038,True,False,DEFERRED_INFEASIBLE_BEFORE_EXIT;FULLY_RECONCILED
NGM3|NGN3|2023-05-23|2023-05-28,NGM3,NGN3,2023-05-23,2023-05-28,3,3,4,T019;T023;T027;T035,True,False,DEFERRED_INFEASIBLE_BEFORE_EXIT;FULLY_RECONCILED
NGN3|NGQ3|2023-06-25|NA,NGN3,NGQ3,2023-06-25,,4,4,2,T019;T027,False,True,DEFERRED_INFEASIBLE_BEFORE_EXIT
NGN3|NGQ3|2023-06-25|2023-06-29,NGN3,NGQ3,2023-06-25,2023-06-29,4,4,2,T023;T035,True,True,FULLY_RECONCILED
NGQ3|NGU3|2023-07-24|2023-07-28,NGQ3,NGU3,2023-07-24,2023-07-28,5,5,2,T023;T035,True,True,FULLY_RECONCILED
NGU3|NGV3|2023-08-24|2023-08-30,NGU3,NGV3,2023-08-24,2023-08-30,1,6,3,T023;T029;T035,True,True,FULLY_RECONCILED
NGV3|NGX3|2023-09-22|2023-09-28,NGV3,NGX3,2023-09-22,2023-09-28,7,7,2,T023;T035,True,True,FULLY_RECONCILED
NGH3|NGJ3|2023-02-20|2023-02-26,NGH3,NGJ3,2023-02-20,2023-02-26,1,1,2,T026;T034,True,True,FULLY_RECONCILED
NGF4|NGG4|2023-12-22|2023-12-28,NGF4,NGG4,2023-12-22,2023-12-28,1,1,2,T030;T036,True,True,FULLY_RECONCILED
NGG4|NGH4|2024-01-23|2024-01-30,NGG4,NGH4,2024-01-23,2024-01-30,1,1,2,T031;T037,True,True,FULLY_RECONCILED
NGX4|NGZ4|2024-10-25|NA,NGX4,NGZ4,2024-10-25,,1,1,1,T033,False,True,DEFERRED_INFEASIBLE_BEFORE_EXIT
