trade_id,entry_threshold,exit_threshold,roll_number,old_contract,new_contract,actual_roll_date,deferred_old_last_date,deferred_new_entry_date,delay_days,deferred_status,is_feasible
T001,1.75,2.25,1,NGH4,NGJ4,2024-02-22,2024-02-27,2024-02-28,6.0,FULLY_RECONCILED,True
T001,1.75,2.25,2,NGJ4,NGK4,2024-03-21,2024-03-26,2024-03-27,6.0,FULLY_RECONCILED,True
T001,1.75,2.25,3,NGK4,NGM4,2024-04-23,2024-04-26,2024-04-28,5.0,FULLY_RECONCILED,True
T002,1.75,2.5,1,NGH4,NGJ4,2024-02-22,2024-02-27,2024-02-28,6.0,FULLY_RECONCILED,True
T002,1.75,2.5,2,NGJ4,NGK4,2024-03-21,2024-03-26,2024-03-27,6.0,FULLY_RECONCILED,True
T002,1.75,2.5,3,NGK4,NGM4,2024-04-23,2024-04-26,2024-04-28,5.0,FULLY_RECONCILED,True
T003,1.75,2.75,1,NGH4,NGJ4,2024-02-22,2024-02-27,2024-02-28,6.0,FULLY_RECONCILED,True
T003,1.75,2.75,2,NGJ4,NGK4,2024-03-21,2024-03-26,2024-03-27,6.0,FULLY_RECONCILED,True
T003,1.75,2.75,3,NGK4,NGM4,2024-04-23,2024-04-26,2024-04-28,5.0,FULLY_RECONCILED,True
T004,1.75,3.0,1,NGH4,NGJ4,2024-02-22,2024-02-27,2024-02-28,6.0,FULLY_RECONCILED,True
T004,1.75,3.0,2,NGJ4,NGK4,2024-03-21,2024-03-26,2024-03-27,6.0,FULLY_RECONCILED,True
T004,1.75,3.0,3,NGK4,NGM4,2024-04-23,2024-04-26,2024-04-28,5.0,FULLY_RECONCILED,True
T004,1.75,3.0,4,NGM4,NGN4,2024-05-24,2024-05-29,2024-05-30,6.0,FULLY_RECONCILED,True
T005,2.0,2.25,1,NGH4,NGJ4,2024-02-22,2024-02-27,2024-02-28,6.0,FULLY_RECONCILED,True
T005,2.0,2.25,2,NGJ4,NGK4,2024-03-21,2024-03-26,2024-03-27,6.0,FULLY_RECONCILED,True
T005,2.0,2.25,3,NGK4,NGM4,2024-04-23,2024-04-26,2024-04-28,5.0,FULLY_RECONCILED,True
T006,2.0,2.25,1,NGU4,NGV4,2024-08-25,2024-08-28,2024-08-29,4.0,FULLY_RECONCILED,True
T007,2.0,2.5,1,NGH4,NGJ4,2024-02-22,2024-02-27,2024-02-28,6.0,FULLY_RECONCILED,True
T007,2.0,2.5,2,NGJ4,NGK4,2024-03-21,2024-03-26,2024-03-27,6.0,FULLY_RECONCILED,True
T007,2.0,2.5,3,NGK4,NGM4,2024-04-23,2024-04-26,2024-04-28,5.0,FULLY_RECONCILED,True
T008,2.0,2.5,1,NGU4,NGV4,2024-08-25,2024-08-28,2024-08-29,4.0,DEFERRED_INFEASIBLE_BEFORE_EXIT,False
T008,2.0,2.5,2,NGV4,NGX4,2024-09-23,,,,DEFERRED_INFEASIBLE_BEFORE_EXIT,False
T009,2.0,2.75,1,NGH4,NGJ4,2024-02-22,2024-02-27,2024-02-28,6.0,FULLY_RECONCILED,True
T009,2.0,2.75,2,NGJ4,NGK4,2024-03-21,2024-03-26,2024-03-27,6.0,FULLY_RECONCILED,True
T009,2.0,2.75,3,NGK4,NGM4,2024-04-23,2024-04-26,2024-04-28,5.0,FULLY_RECONCILED,True
T010,2.0,2.75,1,NGU4,NGV4,2024-08-25,2024-08-28,2024-08-29,4.0,DEFERRED_INFEASIBLE_BEFORE_EXIT,False
T010,2.0,2.75,2,NGV4,NGX4,2024-09-23,,,,DEFERRED_INFEASIBLE_BEFORE_EXIT,False
T011,2.0,3.0,1,NGH4,NGJ4,2024-02-22,2024-02-27,2024-02-28,6.0,FULLY_RECONCILED,True
T011,2.0,3.0,2,NGJ4,NGK4,2024-03-21,2024-03-26,2024-03-27,6.0,FULLY_RECONCILED,True
T011,2.0,3.0,3,NGK4,NGM4,2024-04-23,2024-04-26,2024-04-28,5.0,FULLY_RECONCILED,True
T011,2.0,3.0,4,NGM4,NGN4,2024-05-24,2024-05-29,2024-05-30,6.0,FULLY_RECONCILED,True
T012,2.0,3.0,1,NGU4,NGV4,2024-08-25,2024-08-28,2024-08-29,4.0,FULLY_RECONCILED,True
T012,2.0,3.0,2,NGV4,NGX4,2024-09-23,2024-09-26,2024-09-27,4.0,FULLY_RECONCILED,True
T012,2.0,3.0,3,NGX4,NGZ4,2024-10-25,2024-10-29,2024-10-30,5.0,FULLY_RECONCILED,True
T014,2.25,2.5,1,NGJ3,NGK3,2023-03-24,2023-03-29,2023-03-30,6.0,FULLY_RECONCILED,True
