trade_id,entry_threshold,exit_threshold,total_rolls,feasible_rolls,infeasible_rolls,feasibility_rate,classification,feasible_roll_numbers,infeasible_roll_numbers,infeasible_roll_dates,trade_roll_start,trade_roll_end
T001,1.75,2.25,3,3,0,1.0,FULLY_FEASIBLE,1;2;3,,,2024-02-22,2024-04-23
T002,1.75,2.5,3,3,0,1.0,FULLY_FEASIBLE,1;2;3,,,2024-02-22,2024-04-23
T003,1.75,2.75,3,3,0,1.0,FULLY_FEASIBLE,1;2;3,,,2024-02-22,2024-04-23
T004,1.75,3.0,4,4,0,1.0,FULLY_FEASIBLE,1;2;3;4,,,2024-02-22,2024-05-24
T005,2.0,2.25,3,3,0,1.0,FULLY_FEASIBLE,1;2;3,,,2024-02-22,2024-04-23
T006,2.0,2.25,1,1,0,1.0,FULLY_FEASIBLE,1,,,2024-08-25,2024-08-25
T007,2.0,2.5,3,3,0,1.0,FULLY_FEASIBLE,1;2;3,,,2024-02-22,2024-04-23
T008,2.0,2.5,2,0,2,0.0,FULLY_INFEASIBLE,,1;2,2024-08-25;2024-09-23,2024-08-25,2024-09-23
T009,2.0,2.75,3,3,0,1.0,FULLY_FEASIBLE,1;2;3,,,2024-02-22,2024-04-23
T010,2.0,2.75,2,0,2,0.0,FULLY_INFEASIBLE,,1;2,2024-08-25;2024-09-23,2024-08-25,2024-09-23
T011,2.0,3.0,4,4,0,1.0,FULLY_FEASIBLE,1;2;3;4,,,2024-02-22,2024-05-24
T012,2.0,3.0,3,3,0,1.0,FULLY_FEASIBLE,1;2;3,,,2024-08-25,2024-10-25
T014,2.25,2.5,2,2,0,1.0,FULLY_FEASIBLE,1;2,,,2023-03-24,2023-04-23
T016,2.25,2.5,3,3,0,1.0,FULLY_FEASIBLE,1;2;3,,,2024-02-22,2024-04-23
T017,2.25,2.5,3,0,3,0.0,FULLY_INFEASIBLE,,1;2;3,2024-07-24;2024-08-25;2024-09-23,2024-07-24,2024-09-23
T019,2.25,2.75,4,0,4,0.0,FULLY_INFEASIBLE,,1;2;3;4,2023-03-24;2023-04-23;2023-05-23;2023-06-25,2023-03-24,2023-06-25
T020,2.25,2.75,3,3,0,1.0,FULLY_FEASIBLE,1;2;3,,,2024-02-22,2024-04-23
T021,2.25,2.75,3,0,3,0.0,FULLY_INFEASIBLE,,1;2;3,2024-07-24;2024-08-25;2024-09-23,2024-07-24,2024-09-23
T023,2.25,3.0,7,7,0,1.0,FULLY_FEASIBLE,1;2;3;4;5;6;7,,,2023-03-24,2023-09-22
T024,2.25,3.0,4,4,0,1.0,FULLY_FEASIBLE,1;2;3;4,,,2024-02-22,2024-05-24
T025,2.25,3.0,4,4,0,1.0,FULLY_FEASIBLE,1;2;3;4,,,2024-07-24,2024-10-25
T026,2.5,2.75,1,1,0,1.0,FULLY_FEASIBLE,1,,,2023-02-20,2023-02-20
T027,2.5,2.75,4,0,4,0.0,FULLY_INFEASIBLE,,1;2;3;4,2023-03-24;2023-04-23;2023-05-23;2023-06-25,2023-03-24,2023-06-25
T029,2.5,2.75,1,1,0,1.0,FULLY_FEASIBLE,1,,,2023-08-24,2023-08-24
T030,2.5,2.75,1,1,0,1.0,FULLY_FEASIBLE,1,,,2023-12-22,2023-12-22
T031,2.5,2.75,4,4,0,1.0,FULLY_FEASIBLE,1;2;3;4,,,2024-01-23,2024-04-23
T032,2.5,2.75,3,0,3,0.0,FULLY_INFEASIBLE,,1;2;3,2024-07-24;2024-08-25;2024-09-23,2024-07-24,2024-09-23
T033,2.5,2.75,1,0,1,0.0,FULLY_INFEASIBLE,,1,2024-10-25,2024-10-25,2024-10-25
T034,2.5,3.0,1,1,0,1.0,FULLY_FEASIBLE,1,,,2023-02-20,2023-02-20
T035,2.5,3.0,7,7,0,1.0,FULLY_FEASIBLE,1;2;3;4;5;6;7,,,2023-03-24,2023-09-22
T036,2.5,3.0,1,1,0,1.0,FULLY_FEASIBLE,1,,,2023-12-22,2023-12-22
T037,2.5,3.0,5,5,0,1.0,FULLY_FEASIBLE,1;2;3;4;5,,,2024-01-23,2024-05-24
T038,2.5,3.0,4,4,0,1.0,FULLY_FEASIBLE,1;2;3;4,,,2024-07-24,2024-10-25
