strategy,entry_date,entry_contract,entry_price,exit_date,exit_contract,exit_price,holding_days,roll_count,economic_pnl_points,economic_pnl_dollars,economic_return,simple_price_pnl_points,simple_price_pnl_dollars,simple_trade_return,pnl_reconciliation_error,status
50/200 DMA,2021-09-20,NGV1,4.9680000000,2021-12-23,NGF2,3.9630000000,94,3,-1.0050000000,-10050.0000000000,-0.2022946860,-1.0050000000,-10050.0000000000,-0.2022946860,0.0000000000,CLOSED
50/200 DMA,2022-04-25,NGM2,6.5390000000,2022-11-01,NGZ2,6.2710000000,190,6,-0.2680000000,-2680.0000000000,-0.0409848601,-0.2680000000,-2680.0000000000,-0.0409848601,0.0000000000,CLOSED
50/200 DMA,2025-01-06,NGG5,3.5210000000,2025-08-06,NGU25,3.0110000000,212,7,-0.5100000000,-5100.0000000000,-0.1448452144,-0.5100000000,-5100.0000000000,-0.1448452144,0.0000000000,CLOSED
50/200 DMA,2026-02-06,NGH26,3.5190000000,2026-08-07,NGU26,2.6310000000,182,6,-0.8880000000,-8880.0000000000,-0.2523444160,-0.8880000000,-8880.0000000000,-0.2523444160,0.0000000000,CLOSED
Bollinger Mean Reversion,2021-10-19,NGX1,4.9870000000,2021-11-29,NGF2,5.0770000000,41,2,0.0900000000,900.0000000000,0.0180469220,0.0900000000,900.0000000000,0.0180469220,0.0000000000,CLOSED
Bollinger Mean Reversion,2021-12-02,NGF2,4.3110000000,2022-01-11,NGG2,4.1240000000,40,1,-0.1870000000,-1870.0000000000,-0.0433774066,-0.1870000000,-1870.0000000000,-0.0433774066,0.0000000000,CLOSED
Bollinger Mean Reversion,2022-06-15,NGN2,7.2520000000,2022-07-14,NGQ2,6.6070000000,29,1,-0.6450000000,-6450.0000000000,-0.0889409818,-0.6450000000,-6450.0000000000,-0.0889409818,0.0000000000,CLOSED
Bollinger Mean Reversion,2022-09-08,NGV2,7.8850000000,2022-09-15,NGV2,9.1060000000,7,0,1.2210000000,12210.0000000000,0.1548509829,1.2210000000,12210.0000000000,0.1548509829,0.0000000000,CLOSED
Bollinger Mean Reversion,2022-09-26,NGX2,7.0460000000,2022-11-08,NGZ2,6.7230000000,43,1,-0.3230000000,-3230.0000000000,-0.0458416123,-0.3230000000,-3230.0000000000,-0.0458416123,0.0000000000,CLOSED
Bollinger Mean Reversion,2023-05-05,NGM3,2.0870000000,2023-05-16,NGM3,2.3600000000,11,0,0.2730000000,2730.0000000000,0.1308097748,0.2730000000,2730.0000000000,0.1308097748,0.0000000000,CLOSED
Bollinger Mean Reversion,2023-06-02,NGN3,2.1600000000,2023-06-16,NGN3,2.5530000000,14,0,0.3930000000,3930.0000000000,0.1819444444,0.3930000000,3930.0000000000,0.1819444444,0.0000000000,CLOSED
Bollinger Mean Reversion,2023-08-03,NGU3,2.4790000000,2023-08-08,NGU3,2.7430000000,5,0,0.2640000000,2640.0000000000,0.1064945543,0.2640000000,2640.0000000000,0.1064945543,0.0000000000,CLOSED
Bollinger Mean Reversion,2023-11-08,NGZ3,3.1780000000,2023-12-26,NGG4,2.4190000000,48,2,-0.7590000000,-7590.0000000000,-0.2388294525,-0.7590000000,-7590.0000000000,-0.2388294525,0.0000000000,CLOSED
Bollinger Mean Reversion,2024-02-15,NGH4,1.6130000000,2024-02-28,NGJ4,1.8070000000,13,1,0.1940000000,1940.0000000000,0.1202727836,0.1940000000,1940.0000000000,0.1202727836,0.0000000000,CLOSED
Bollinger Mean Reversion,2024-04-16,NGK4,1.6860000000,2024-04-23,NGK4,1.7930000000,7,0,0.1070000000,1070.0000000000,0.0634638197,0.1070000000,1070.0000000000,0.0634638197,0.0000000000,CLOSED
Bollinger Mean Reversion,2024-07-01,NGQ4,2.5950000000,2024-08-08,NGU4,2.0870000000,38,1,-0.5080000000,-5080.0000000000,-0.1957610790,-0.5080000000,-5080.0000000000,-0.1957610790,0.0000000000,CLOSED
Bollinger Mean Reversion,2024-10-17,NGX4,2.3750000000,2024-11-12,NGZ4,2.9320000000,26,1,0.5570000000,5570.0000000000,0.2345263158,0.5570000000,5570.0000000000,0.2345263158,0.0000000000,CLOSED
Bollinger Mean Reversion,2025-04-08,NGK5,3.6440000000,2025-05-05,NGM5,3.6970000000,27,1,0.0530000000,530.0000000000,0.0145444566,0.0530000000,530.0000000000,0.0145444566,0.0000000000,CLOSED
Bollinger Mean Reversion,2025-07-24,NGQ25,3.0860000000,2025-09-02,NGV25,2.9810000000,40,2,-0.1050000000,-1050.0000000000,-0.0340246273,-0.1050000000,-1050.0000000000,-0.0340246273,0.0000000000,CLOSED
Bollinger Mean Reversion,2025-12-15,NGF26,4.1940000000,2026-01-21,NGG26,3.8860000000,37,1,-0.3080000000,-3080.0000000000,-0.0734382451,-0.3080000000,-3080.0000000000,-0.0734382451,0.0000000000,CLOSED
Bollinger Mean Reversion,2026-07-10,NGQ26,3.0140000000,2026-08-11,NGU26,2.7730000000,32,1,-0.2410000000,-2410.0000000000,-0.0799601858,-0.2410000000,-2410.0000000000,-0.0799601858,0.0000000000,CLOSED
$2 Contrarian,2024-02-08,NGH4,1.9670000000,2024-05-20,NGM4,2.6330000000,102,3,0.6660000000,6660.0000000000,0.3385866802,0.6660000000,6660.0000000000,0.3385866802,0.0000000000,CLOSED
$2 Contrarian,2024-08-02,NGU4,1.9780000000,2024-09-24,NGX4,2.8610000000,53,2,0.8830000000,8830.0000000000,0.4464105157,0.8830000000,8830.0000000000,0.4464105157,0.0000000000,CLOSED
