date,strategy,equity,position,active_contract,settlement,previous_contract,roll_today,action,execution_price,daily_return
2021-09-17,Buy & Hold,10000.0,0,NGV1,5.105,,True,NONE,,0.0
2021-09-20,Buy & Hold,10034.219001610307,1,NGV1,4.985,NGV1,False,BUY,4.968,0.003421900161030722
2021-09-21,Buy & Hold,9671.900161030595,1,NGV1,4.805,NGV1,False,NONE,,-0.03610832497492489
2021-09-22,Buy & Hold,9671.900161030595,1,NGV1,4.805,NGV1,False,NONE,,0.0
2021-09-23,Buy & Hold,10016.10305958132,1,NGV1,4.976,NGV1,False,NONE,,0.03558792924037468
2021-09-24,Buy & Hold,10346.21578099839,1,NGV1,5.14,NGV1,False,NONE,,0.03295819935691302
2021-09-27,Buy & Hold,11535.829307568438,1,NGX1,5.731,NGV1,True,NONE,,0.11498054474708175
2021-09-28,Buy & Hold,11835.748792270531,1,NGX1,5.88,NGX1,False,NONE,,0.02599895306229283
2021-09-29,Buy & Hold,11024.557165861515,1,NGX1,5.477,NGX1,False,NONE,,-0.06853741496598631
2021-09-30,Buy & Hold,11809.581320450889,1,NGX1,5.867,NGX1,False,NONE,,0.07120686507211982
2021-10-01,Buy & Hold,11310.386473429955,1,NGX1,5.619,NGX1,False,NONE,,-0.042270325549684684
2021-10-04,Buy & Hold,11606.280193236718,1,NGX1,5.766,NGX1,False,NONE,,0.026161238654564878
2021-10-05,Buy & Hold,12705.31400966184,1,NGX1,6.312,NGX1,False,NONE,,0.09469302809573366
2021-10-06,Buy & Hold,11423.1078904992,1,NGX1,5.675,NGX1,False,NONE,,-0.1009188846641319
2021-10-07,Buy & Hold,11427.13365539453,1,NGX1,5.677,NGX1,False,NONE,,0.00035242290748893623
2021-10-08,Buy & Hold,11201.690821256045,1,NGX1,5.565,NGX1,False,NONE,,-0.01972872996300845
2021-10-11,Buy & Hold,10758.85668276973,1,NGX1,5.345,NGX1,False,NONE,,-0.039532794249775516
2021-10-12,Buy & Hold,11080.91787439614,1,NGX1,5.505,NGX1,False,NONE,,0.029934518241347075
2021-10-13,Buy & Hold,11252.012882447669,1,NGX1,5.59,NGX1,False,NONE,,0.015440508628519423
2021-10-14,Buy & Hold,11447.262479871179,1,NGX1,5.687,NGX1,False,NONE,,0.0173524150268336
2021-10-15,Buy & Hold,10889.694041867957,1,NGX1,5.41,NGX1,False,NONE,,-0.048707578688236386
2021-10-18,Buy & Hold,10042.270531400967,1,NGX1,4.989,NGX1,False,NONE,,-0.07781885397412203
2021-10-19,Buy & Hold,10241.54589371981,1,NGX1,5.088,NGX1,False,NONE,,0.0198436560432953
2021-10-20,Buy & Hold,10406.602254428342,1,NGX1,5.17,NGX1,False,NONE,,0.016116352201257733
2021-10-21,Buy & Hold,10295.893719806765,1,NGX1,5.115,NGX1,False,NONE,,-0.010638297872340385
2021-10-22,Buy & Hold,10628.019323671499,1,NGX1,5.28,NGX1,False,NONE,,0.032258064516129004
2021-10-25,Buy & Hold,12190.016103059583,1,NGZ1,6.056,NGX1,True,NONE,,0.14696969696969697
2021-10-26,Buy & Hold,12083.333333333334,1,NGZ1,6.003,NGZ1,False,NONE,,-0.008751651254953807
2021-10-27,Buy & Hold,12475.84541062802,1,NGZ1,6.198,NGZ1,False,NONE,,0.03248375812093962
2021-10-28,Buy & Hold,11638.486312399356,1,NGZ1,5.782,NGZ1,False,NONE,,-0.06711842529848344
2021-10-29,Buy & Hold,10921.900161030597,1,NGZ1,5.426,NGZ1,False,NONE,,-0.0615703908682117
