strategy,entry_date,entry_contract,entry_price,exit_date,exit_contract,exit_price,trade_return,holding_days,status
Buy & Hold,2021-09-20,NGV1,4.968,,,,-0.4160628019323672,1823,OPEN_AT_END
50/200 DMA,2021-09-20,NGV1,4.968,2021-12-23,NGF2,3.963,-0.20229468599033817,94,CLOSED
50/200 DMA,2022-04-25,NGM2,6.539,2022-11-01,NGZ2,6.271,-0.04098486007034707,190,CLOSED
50/200 DMA,2025-01-06,NGG5,3.521,2025-08-06,NGU25,3.011,-0.14484521442771936,212,CLOSED
50/200 DMA,2026-02-06,NGH26,3.519,2026-08-07,NGU26,2.631,-0.2523444160272805,182,CLOSED
Bollinger Mean Reversion,2021-10-19,NGX1,4.987,2021-11-29,NGF2,5.077,0.0180469219971926,41,CLOSED
Bollinger Mean Reversion,2021-12-02,NGF2,4.311,2022-01-11,NGG2,4.124,-0.04337740663419165,40,CLOSED
Bollinger Mean Reversion,2022-06-15,NGN2,7.252,2022-07-14,NGQ2,6.607,-0.0889409817981246,29,CLOSED
Bollinger Mean Reversion,2022-09-08,NGV2,7.885,2022-09-15,NGV2,9.106,0.154850982878884,7,CLOSED
Bollinger Mean Reversion,2022-09-26,NGX2,7.046,2022-11-08,NGZ2,6.723,-0.045841612262276565,43,CLOSED
Bollinger Mean Reversion,2023-05-05,NGM3,2.087,2023-05-16,NGM3,2.36,0.13080977479635836,11,CLOSED
Bollinger Mean Reversion,2023-06-02,NGN3,2.16,2023-06-16,NGN3,2.553,0.18194444444444424,14,CLOSED
Bollinger Mean Reversion,2023-08-03,NGU3,2.479,2023-08-08,NGU3,2.743,0.10649455425574827,5,CLOSED
Bollinger Mean Reversion,2023-11-08,NGZ3,3.178,2023-12-26,NGG4,2.419,-0.2388294524858401,48,CLOSED
Bollinger Mean Reversion,2024-02-15,NGH4,1.613,2024-02-28,NGJ4,1.807,0.120272783632982,13,CLOSED
Bollinger Mean Reversion,2024-04-16,NGK4,1.686,2024-04-23,NGK4,1.793,0.06346381969157777,7,CLOSED
Bollinger Mean Reversion,2024-07-01,NGQ4,2.595,2024-08-08,NGU4,2.087,-0.19576107899807316,38,CLOSED
Bollinger Mean Reversion,2024-10-17,NGX4,2.375,2024-11-12,NGZ4,2.932,0.2345263157894737,26,CLOSED
Bollinger Mean Reversion,2025-04-08,NGK5,3.644,2025-05-05,NGM5,3.697,0.014544456641053749,27,CLOSED
Bollinger Mean Reversion,2025-07-24,NGQ25,3.086,2025-09-02,NGV25,2.981,-0.03402462734931955,40,CLOSED
Bollinger Mean Reversion,2025-12-15,NGF26,4.194,2026-01-21,NGG26,3.886,-0.07343824511206476,37,CLOSED
Bollinger Mean Reversion,2026-07-10,NGQ26,3.014,2026-08-11,NGU26,2.773,-0.07996018579960174,32,CLOSED
$2 Contrarian,2024-02-08,NGH4,1.967,2024-05-20,NGM4,2.633,0.33858668022369076,102,CLOSED
$2 Contrarian,2024-08-02,NGU4,1.978,2024-09-24,NGX4,2.861,0.44641051567239654,53,CLOSED
