entry_threshold,exit_threshold,removed_trade,removed_entry_date,removed_exit_date,removed_trade_return,remaining_trades,compound_return,final_value,return_change_vs_full
1.75,2.25,NONE,,,,1,0.38217703349282295,13821.77033492823,0.0
1.75,2.25,1,2024-02-14,2024-05-10,0.3821770334928229,0,0.0,10000.0,-0.38217703349282295
1.75,2.5,NONE,,,,1,0.5747607655502394,15747.607655502394,0.0
1.75,2.5,1,2024-02-14,2024-05-20,0.5747607655502394,0,0.0,10000.0,-0.5747607655502394
1.75,2.75,NONE,,,,1,0.6459330143540669,16459.33014354067,0.0
1.75,2.75,1,2024-02-14,2024-05-21,0.6459330143540669,0,0.0,10000.0,-0.6459330143540669
1.75,3.0,NONE,,,,1,0.8528708133971292,18528.708133971293,0.0
1.75,3.0,1,2024-02-14,2024-06-12,0.8528708133971292,0,0.0,10000.0,-0.8528708133971292
2.0,2.25,NONE,,,,2,0.3417930226903667,13417.930226903667,0.0
2.0,2.25,1,2024-02-08,2024-05-10,0.1748856126080324,1,0.14206268958543977,11420.626895854397,-0.19973033310492694
2.0,2.25,2,2024-08-02,2024-09-06,0.1420626895854397,1,0.17488561260803248,11748.856126080325,-0.16690741008233423
2.0,2.5,NONE,,,,2,0.9361458504145499,19361.4585041455,0.0
2.0,2.5,1,2024-02-08,2024-05-20,0.3385866802236907,1,0.44641051567239654,14464.105156723965,-0.48973533474215336
2.0,2.5,2,2024-08-02,2024-09-24,0.4464105156723965,1,0.33858668022369076,13385.866802236907,-0.5975591701908591
2.0,2.75,NONE,,,,2,0.9932362237793151,19932.36223779315,0.0
2.0,2.75,1,2024-02-08,2024-05-21,0.3990849008642601,1,0.42467138523761383,14246.713852376139,-0.5685648385417013
2.0,2.75,2,2024-08-02,2024-09-25,0.4246713852376138,1,0.3990849008642601,13990.8490086426,-0.594151322915055
2.0,3.0,NONE,,,,2,1.551989011819388,25519.890118193878,0.0
2.0,3.0,1,2024-02-08,2024-06-12,0.5749872902897812,1,0.6203235591506573,16203.235591506573,-0.9316654526687307
2.0,3.0,2,2024-08-02,2024-11-21,0.6203235591506573,1,0.5749872902897812,15749.872902897812,-0.9770017215296067
2.25,2.5,NONE,,,,5,1.598719782585949,25987.19782585949,0.0
2.25,2.5,1,2023-02-22,2023-02-27,0.200091575091575,4,1.165434568930833,21654.34568930833,-0.43328521365511596
2.25,2.5,2,2023-03-21,2023-05-19,0.1557632398753894,4,1.2484880059571153,22484.880059571155,-0.35023177662883365
2.25,2.5,3,2023-06-02,2023-06-16,0.1819444444444442,4,1.1986818372055037,21986.818372055037,-0.40003794538044524
2.25,2.5,4,2024-01-26,2024-05-20,0.1989981785063752,4,1.1674092831594165,21674.092831594164,-0.43131049942653243
2.25,2.5,5,2024-07-16,2024-09-24,0.3220887245841035,4,0.9656167806766842,19656.167806766844,-0.6331030019092647
2.25,2.75,NONE,,,,4,1.6712120825781138,26712.120825781138,0.0
2.25,2.75,1,2023-02-22,2023-03-02,0.2793040293040292,3,1.0880197524518977,20880.19752451898,-0.5831923301262161
2.25,2.75,2,2023-03-21,2023-06-27,0.2794837561192702,3,1.0877264520184426,20877.264520184428,-0.5834856305596712
2.25,2.75,3,2024-01-26,2024-05-21,0.2531876138433513,3,1.1315340600805013,21315.34060080501,-0.5396780224976125
2.25,2.75,4,2024-07-16,2024-09-25,0.3022181146025877,3,1.0512785474446553,20512.785474446555,-0.6199335351334585
2.25,3.0,NONE,,,,4,2.7070181500342545,37070.18150034254,0.0
2.25,3.0,1,2023-02-22,2023-03-06,0.2536630036630036,3,1.9569494666452925,29569.494666452923,-0.750068683388962
2.25,3.0,2,2023-03-21,2023-10-06,0.4152202937249667,3,1.6193930135619397,26193.930135619397,-1.0876251364723148
2.25,3.0,3,2024-01-26,2024-06-12,0.4107468123861564,3,1.627699114743455,26276.99114743455,-1.0793190352907995
2.25,3.0,4,2024-07-16,2024-11-21,0.4810536044362292,3,1.5029601487282767,25029.601487282765,-1.2040580013059778
2.5,2.75,NONE,,,,8,1.8895404846846504,28895.404846846504,0.0
2.5,2.75,1,2023-02-02,2023-03-02,0.1131474103585659,7,1.5958291397847066,25958.291397847068,-0.29371134489994377
2.5,2.75,2,2023-03-13,2023-06-27,0.1870355078447563,7,1.4342494100543384,24342.494100543383,-0.45529107463031204
2.5,2.75,3,2023-08-03,2023-08-09,0.1262605889471559,7,1.565605609431679,25656.05609431679,-0.3239348752529714
2.5,2.75,4,2023-08-24,2023-08-31,0.1310149615851195,7,1.5548207431623662,25548.20743162366,-0.33471974152228423
2.5,2.75,5,2023-12-12,2024-01-05,0.1559557920589438,7,1.4996980892650855,24996.980892650856,-0.3898423954195649
2.5,2.75,6,2024-01-23,2024-05-21,0.1292572835453427,7,1.5587972969391326,25587.972969391325,-0.3307431877455178
2.5,2.75,7,2024-07-02,2024-09-25,0.1381260096930534,7,1.5388581405532977,25388.581405532976,-0.3506823441313527
2.5,2.75,8,2024-10-15,2024-10-29,0.155528554070474,7,1.5006223121929199,25006.223121929197,-0.38891817249173055
2.5,3.0,NONE,,,,5,2.070641766792005,30706.41766792005,0.0
2.5,3.0,1,2023-02-02,2023-03-06,0.0908366533864541,4,1.8149418680233507,28149.418680233506,-0.2556998987686545
2.5,3.0,2,2023-03-13,2023-10-06,0.3129644921552437,4,1.338708917978062,23387.08917978062,-0.7319328488139432
2.5,3.0,3,2023-12-12,2024-01-10,0.3029062627916494,4,1.356763379287738,23567.63379287738,-0.7138783875042671
2.5,3.0,4,2024-01-23,2024-06-12,0.2712351251538778,4,1.4154790140968743,24154.790140968744,-0.6551627526951309
2.5,3.0,5,2024-07-02,2024-11-21,0.2944264943457189,4,1.3722025006480516,23722.025006480515,-0.6984392661439536
