entry_threshold,exit_threshold,entry_date,entry_contract,entry_price,exit_signal_date,exit_date,exit_contract,exit_price,holding_days,trade_return,status
1.75,2.25,2024-02-14,NGH4,1.672,2024-05-09,2024-05-10,NGM4,2.311,86,0.38217703349282295,CLOSED
1.75,2.5,2024-02-14,NGH4,1.672,2024-05-17,2024-05-20,NGM4,2.633,96,0.5747607655502394,CLOSED
1.75,2.75,2024-02-14,NGH4,1.672,2024-05-20,2024-05-21,NGM4,2.752,97,0.6459330143540669,CLOSED
1.75,3.0,2024-02-14,NGH4,1.672,2024-06-11,2024-06-12,NGN4,3.098,119,0.8528708133971292,CLOSED
2.0,2.25,2024-02-08,NGH4,1.967,2024-05-09,2024-05-10,NGM4,2.311,92,0.17488561260803248,CLOSED
2.0,2.25,2024-08-02,NGU4,1.978,2024-09-05,2024-09-06,NGV4,2.259,35,0.14206268958543977,CLOSED
2.0,2.5,2024-02-08,NGH4,1.967,2024-05-17,2024-05-20,NGM4,2.633,102,0.33858668022369076,CLOSED
2.0,2.5,2024-08-02,NGU4,1.978,2024-09-23,2024-09-24,NGX4,2.861,53,0.44641051567239654,CLOSED
2.0,2.75,2024-02-08,NGH4,1.967,2024-05-20,2024-05-21,NGM4,2.752,103,0.3990849008642601,CLOSED
2.0,2.75,2024-08-02,NGU4,1.978,2024-09-24,2024-09-25,NGX4,2.818,54,0.42467138523761383,CLOSED
2.0,3.0,2024-02-08,NGH4,1.967,2024-06-11,2024-06-12,NGN4,3.098,125,0.5749872902897812,CLOSED
2.0,3.0,2024-08-02,NGU4,1.978,2024-11-20,2024-11-21,NGZ4,3.205,111,0.6203235591506573,CLOSED
2.25,2.5,2023-02-22,NGJ3,2.184,2023-02-24,2023-02-27,NGJ3,2.621,5,0.20009157509157505,CLOSED
2.25,2.5,2023-03-21,NGJ3,2.247,2023-05-18,2023-05-19,NGM3,2.597,59,0.15576323987538943,CLOSED
2.25,2.5,2023-06-02,NGN3,2.16,2023-06-15,2023-06-16,NGN3,2.553,14,0.18194444444444424,CLOSED
2.25,2.5,2024-01-26,NGH4,2.196,2024-05-17,2024-05-20,NGM4,2.633,115,0.19899817850637525,CLOSED
2.25,2.5,2024-07-16,NGQ4,2.164,2024-09-23,2024-09-24,NGX4,2.861,70,0.32208872458410354,CLOSED
2.25,2.75,2023-02-22,NGJ3,2.184,2023-03-01,2023-03-02,NGJ3,2.794,8,0.2793040293040292,CLOSED
2.25,2.75,2023-03-21,NGJ3,2.247,2023-06-26,2023-06-27,NGQ3,2.875,98,0.27948375611927023,CLOSED
2.25,2.75,2024-01-26,NGH4,2.196,2024-05-20,2024-05-21,NGM4,2.752,116,0.2531876138433513,CLOSED
2.25,2.75,2024-07-16,NGQ4,2.164,2024-09-24,2024-09-25,NGX4,2.818,71,0.30221811460258774,CLOSED
2.25,3.0,2023-02-22,NGJ3,2.184,2023-03-03,2023-03-06,NGJ3,2.738,12,0.25366300366300365,CLOSED
2.25,3.0,2023-03-21,NGJ3,2.247,2023-10-05,2023-10-06,NGX3,3.18,199,0.4152202937249667,CLOSED
2.25,3.0,2024-01-26,NGH4,2.196,2024-06-11,2024-06-12,NGN4,3.098,138,0.4107468123861564,CLOSED
2.25,3.0,2024-07-16,NGQ4,2.164,2024-11-20,2024-11-21,NGZ4,3.205,128,0.48105360443622924,CLOSED
2.5,2.75,2023-02-02,NGH3,2.51,2023-03-01,2023-03-02,NGJ3,2.794,28,0.1131474103585659,CLOSED
2.5,2.75,2023-03-13,NGJ3,2.422,2023-06-26,2023-06-27,NGQ3,2.875,106,0.1870355078447563,CLOSED
2.5,2.75,2023-08-03,NGU3,2.479,2023-08-08,2023-08-09,NGU3,2.792,6,0.12626058894715597,CLOSED
2.5,2.75,2023-08-24,NGU3,2.473,2023-08-30,2023-08-31,NGV3,2.797,7,0.1310149615851195,CLOSED
2.5,2.75,2023-12-12,NGF4,2.443,2024-01-04,2024-01-05,NGG4,2.824,24,0.15595579205894383,CLOSED
2.5,2.75,2024-01-23,NGG4,2.437,2024-05-20,2024-05-21,NGM4,2.752,119,0.12925728354534272,CLOSED
2.5,2.75,2024-07-02,NGQ4,2.476,2024-09-24,2024-09-25,NGX4,2.818,85,0.13812600969305344,CLOSED
2.5,2.75,2024-10-15,NGX4,2.469,2024-10-28,2024-10-29,NGZ4,2.853,14,0.15552855407047406,CLOSED
2.5,3.0,2023-02-02,NGH3,2.51,2023-03-03,2023-03-06,NGJ3,2.738,32,0.09083665338645419,CLOSED
2.5,3.0,2023-03-13,NGJ3,2.422,2023-10-05,2023-10-06,NGX3,3.18,207,0.3129644921552437,CLOSED
2.5,3.0,2023-12-12,NGF4,2.443,2024-01-09,2024-01-10,NGG4,3.183,29,0.30290626279164945,CLOSED
2.5,3.0,2024-01-23,NGG4,2.437,2024-06-11,2024-06-12,NGN4,3.098,141,0.2712351251538778,CLOSED
2.5,3.0,2024-07-02,NGQ4,2.476,2024-11-20,2024-11-21,NGZ4,3.205,142,0.2944264943457189,CLOSED
