trade_id,entry_threshold,exit_threshold,entry_date,entry_contract,entry_price,exit_signal_date,exit_date,exit_contract,exit_price,holding_days,trade_return,status,is_closed,entry_year,exit_year,entry_month,exit_month,win,loss,breakeven,capital_before,capital_after,dollar_pnl,cumulative_return
1,1.75,2.25,2024-02-14,NGH4,1.672,2024-05-09,2024-05-10,NGM4,2.311,86,0.3821770334928229,CLOSED,True,2024,2024,2024-02,2024-05,True,False,False,10000.0,13821.77033492823,3821.7703349282287,0.38217703349282295
2,1.75,2.5,2024-02-14,NGH4,1.672,2024-05-17,2024-05-20,NGM4,2.633,96,0.5747607655502394,CLOSED,True,2024,2024,2024-02,2024-05,True,False,False,10000.0,15747.607655502394,5747.607655502394,0.5747607655502394
3,1.75,2.75,2024-02-14,NGH4,1.672,2024-05-20,2024-05-21,NGM4,2.752,97,0.6459330143540669,CLOSED,True,2024,2024,2024-02,2024-05,True,False,False,10000.0,16459.33014354067,6459.330143540669,0.6459330143540669
4,1.75,3.0,2024-02-14,NGH4,1.672,2024-06-11,2024-06-12,NGN4,3.098,119,0.8528708133971292,CLOSED,True,2024,2024,2024-02,2024-06,True,False,False,10000.0,18528.708133971293,8528.708133971293,0.8528708133971292
5,2.0,2.25,2024-02-08,NGH4,1.967,2024-05-09,2024-05-10,NGM4,2.311,92,0.1748856126080324,CLOSED,True,2024,2024,2024-02,2024-05,True,False,False,10000.0,11748.856126080324,1748.856126080324,0.17488561260803248
6,2.0,2.25,2024-08-02,NGU4,1.978,2024-09-05,2024-09-06,NGV4,2.259,35,0.1420626895854397,CLOSED,True,2024,2024,2024-08,2024-09,True,False,False,11748.856126080324,13417.930226903663,1669.0741008233404,0.3417930226903667
7,2.0,2.5,2024-02-08,NGH4,1.967,2024-05-17,2024-05-20,NGM4,2.633,102,0.3385866802236907,CLOSED,True,2024,2024,2024-02,2024-05,True,False,False,10000.0,13385.866802236907,3385.866802236907,0.33858668022369076
8,2.0,2.5,2024-08-02,NGU4,1.978,2024-09-23,2024-09-24,NGX4,2.861,53,0.4464105156723965,CLOSED,True,2024,2024,2024-08,2024-09,True,False,False,13385.866802236907,19361.4585041455,5975.591701908591,0.9361458504145499
9,2.0,2.75,2024-02-08,NGH4,1.967,2024-05-20,2024-05-21,NGM4,2.752,103,0.3990849008642601,CLOSED,True,2024,2024,2024-02,2024-05,True,False,False,10000.0,13990.8490086426,3990.849008642601,0.3990849008642601
10,2.0,2.75,2024-08-02,NGU4,1.978,2024-09-24,2024-09-25,NGX4,2.818,54,0.4246713852376138,CLOSED,True,2024,2024,2024-08,2024-09,True,False,False,13990.8490086426,19932.36223779315,5941.513229150549,0.9932362237793151
