unique_event_key,old_contract,new_contract,actual_roll_date,deferred_old_last_date,deferred_new_entry_date,delay_days,actual_old_exit_price,actual_new_entry_price,actual_spread_points,actual_transition_pnl,deferred_old_last_close,deferred_new_entry_price,deferred_spread_points,deferred_transition_pnl,timing_effect_points,timing_effect_pnl,strategy_trade_count,trade_ids,entry_thresholds,exit_thresholds,roll_numbers,integrity_ok,year,delay_bucket
NGH4|NGJ4|2024-02-22|2024-02-28,NGH4,NGJ4,2024-02-22,2024-02-27,2024-02-28,6.0,1.71,1.853,0.143,1430.0000000000002,1.72,1.807,0.0869999999999999,869.9999999999997,-0.05600000000000009,-560.0000000000006,13,T001;T002;T003;T004;T005;T007;T009;T011;T016;T020;T024;T031;T037,1.75;2;2.25;2.5,2.25;2.5;2.75;3,1;2,True,2024,5-6 days
NGJ4|NGK4|2024-03-21|2024-03-27,NGJ4,NGK4,2024-03-21,2024-03-26,2024-03-27,6.0,1.697,1.844,0.147,1470.0000000000002,1.531,1.784,0.2530000000000001,2530.000000000001,0.10600000000000012,1060.000000000001,13,T001;T002;T003;T004;T005;T007;T009;T011;T016;T020;T024;T031;T037,1.75;2;2.25;2.5,2.25;2.5;2.75;3,2;3,True,2024,5-6 days
NGK4|NGM4|2024-04-23|2024-04-28,NGK4,NGM4,2024-04-23,2024-04-26,2024-04-28,5.0,1.837,2.067,0.2300000000000002,2300.000000000002,1.619,1.923,0.304,3040.0000000000005,0.07399999999999979,739.9999999999986,13,T001;T002;T003;T004;T005;T007;T009;T011;T016;T020;T024;T031;T037,1.75;2;2.25;2.5,2.25;2.5;2.75;3,3;4,True,2024,5-6 days
NGM4|NGN4|2024-05-24|2024-05-30,NGM4,NGN4,2024-05-24,2024-05-29,2024-05-30,6.0,2.503,2.908,0.4049999999999998,4049.999999999998,2.457,2.658,0.201,2010.000000000001,-0.2039999999999998,-2039.9999999999973,4,T004;T011;T024;T037,1.75;2;2.25;2.5,3,4;5,True,2024,5-6 days
NGU4|NGV4|2024-08-25|2024-08-29,NGU4,NGV4,2024-08-25,2024-08-28,2024-08-29,4.0,2.009,2.16,0.1510000000000002,1510.0000000000025,1.98,2.104,0.1240000000000001,1240.0000000000011,-0.027000000000000093,-270.00000000000136,4,T006;T012;T025;T038,2;2.25;2.5,2.25;3,1;2,True,2024,3-4 days
NGV4|NGX4|2024-09-23|2024-09-27,NGV4,NGX4,2024-09-23,2024-09-26,2024-09-27,4.0,2.637,2.739,0.1019999999999998,1019.9999999999986,2.6,2.738,0.1379999999999999,1379.999999999999,0.0360000000000001,360.00000000000045,3,T012;T025;T038,2;2.25;2.5,3,2;3,True,2024,3-4 days
NGX4|NGZ4|2024-10-25|2024-10-30,NGX4,NGZ4,2024-10-25,2024-10-29,2024-10-30,5.0,2.525,3.013,0.488,4880.0,2.355,2.89,0.5350000000000001,5350.000000000002,0.04700000000000015,470.0000000000018,3,T012;T025;T038,2;2.25;2.5,3,3;4,True,2024,5-6 days
NGJ3|NGK3|2023-03-24|2023-03-30,NGJ3,NGK3,2023-03-24,2023-03-29,2023-03-30,6.0,2.181,2.271,0.0899999999999998,899.9999999999986,1.981,2.179,0.1979999999999997,1979.9999999999973,0.1079999999999999,1079.9999999999986,3,T014;T023;T035,2.25;2.5,2.5;3,1,True,2023,5-6 days
NGK3|NGM3|2023-04-23|2023-04-27,NGK3,NGM3,2023-04-23,2023-04-26,2023-04-27,4.0,2.233,2.395,0.1619999999999999,1619.999999999999,2.116,2.308,0.1919999999999997,1919.9999999999973,0.029999999999999805,299.99999999999795,3,T014;T023;T035,2.25;2.5,2.5;3,2,True,2023,3-4 days
NGM3|NGN3|2023-05-23|2023-05-28,NGM3,NGN3,2023-05-23,2023-05-26,2023-05-28,5.0,2.334,2.548,0.2139999999999999,2139.9999999999995,2.198,2.417,0.2189999999999998,2189.999999999998,0.004999999999999893,49.99999999999909,2,T023;T035,2.25;2.5,3,3,True,2023,5-6 days
