unique_event_key,strategy_trade_count,trade_id_count,old_contract_count,new_contract_count,actual_roll_date_count,deferred_old_last_date_count,deferred_new_entry_date_count,delay_range,actual_spread_range,deferred_spread_range,actual_transition_pnl_range,deferred_transition_pnl_range,timing_effect_range,integrity_ok
NGH4|NGJ4|2024-02-22|2024-02-28,13,13,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True
NGJ4|NGK4|2024-03-21|2024-03-27,13,13,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True
NGK4|NGM4|2024-04-23|2024-04-28,13,13,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True
NGM4|NGN4|2024-05-24|2024-05-30,4,4,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True
NGU4|NGV4|2024-08-25|2024-08-29,4,4,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True
NGV4|NGX4|2024-09-23|2024-09-27,3,3,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True
NGX4|NGZ4|2024-10-25|2024-10-30,3,3,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True
NGJ3|NGK3|2023-03-24|2023-03-30,3,3,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True
NGK3|NGM3|2023-04-23|2023-04-27,3,3,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True
NGM3|NGN3|2023-05-23|2023-05-28,2,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True
NGN3|NGQ3|2023-06-25|2023-06-29,2,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True
NGQ3|NGU3|2023-07-24|2023-07-28,2,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True
NGU3|NGV3|2023-08-24|2023-08-30,3,3,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True
NGV3|NGX3|2023-09-22|2023-09-28,2,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True
NGQ4|NGU4|2024-07-24|2024-07-30,2,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True
NGH3|NGJ3|2023-02-20|2023-02-26,2,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True
NGF4|NGG4|2023-12-22|2023-12-28,2,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True
NGG4|NGH4|2024-01-23|2024-01-30,2,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True
