unique_event_key,old_contract,new_contract,actual_roll_date,deferred_new_entry_date,delay_days,timing_effect_pnl,remaining_total_without_event,event_share_of_total,strategy_trade_count,trade_ids
NGM4|NGN4|2024-05-24|2024-05-30,NGM4,NGN4,2024-05-24,2024-05-30,6.0,-2039.9999999999973,5749.999999999991,-0.5498652291105124,4,T004;T011;T024;T037
NGQ4|NGU4|2024-07-24|2024-07-30,NGQ4,NGU4,2024-07-24,2024-07-30,6.0,1380.0000000000014,2329.9999999999923,0.3719676549865239,2,T025;T038
NGJ3|NGK3|2023-03-24|2023-03-30,NGJ3,NGK3,2023-03-24,2023-03-30,6.0,1079.9999999999986,2629.999999999995,0.2911051212938007,3,T014;T023;T035
NGJ4|NGK4|2024-03-21|2024-03-27,NGJ4,NGK4,2024-03-21,2024-03-27,6.0,1060.000000000001,2649.9999999999927,0.2857142857142865,13,T001;T002;T003;T004;T005;T007;T009;T011;T016;T020;T024;T031;T037
NGQ3|NGU3|2023-07-24|2023-07-28,NGQ3,NGU3,2023-07-24,2023-07-28,4.0,1000.0000000000008,2709.9999999999927,0.26954177897574194,2,T023;T035
NGU3|NGV3|2023-08-24|2023-08-30,NGU3,NGV3,2023-08-24,2023-08-30,6.0,960.0000000000008,2749.9999999999927,0.25876010781671227,3,T023;T029;T035
NGH3|NGJ3|2023-02-20|2023-02-26,NGH3,NGJ3,2023-02-20,2023-02-26,6.0,809.9999999999997,2899.999999999994,0.21832884097035068,2,T026;T034
NGK4|NGM4|2024-04-23|2024-04-28,NGK4,NGM4,2024-04-23,2024-04-28,5.0,739.9999999999986,2969.999999999995,0.1994609164420485,13,T001;T002;T003;T004;T005;T007;T009;T011;T016;T020;T024;T031;T037
NGV3|NGX3|2023-09-22|2023-09-28,NGV3,NGX3,2023-09-22,2023-09-28,6.0,-670.0000000000018,4379.999999999995,-0.18059299191374742,2,T023;T035
NGH4|NGJ4|2024-02-22|2024-02-28,NGH4,NGJ4,2024-02-22,2024-02-28,6.0,-560.0000000000006,4269.9999999999945,-0.1509433962264155,13,T001;T002;T003;T004;T005;T007;T009;T011;T016;T020;T024;T031;T037
NGX4|NGZ4|2024-10-25|2024-10-30,NGX4,NGZ4,2024-10-25,2024-10-30,5.0,470.0000000000018,3239.999999999992,0.1266846361185991,3,T012;T025;T038
NGV4|NGX4|2024-09-23|2024-09-27,NGV4,NGX4,2024-09-23,2024-09-27,4.0,360.00000000000045,3349.999999999993,0.09703504043126714,3,T012;T025;T038
NGF4|NGG4|2023-12-22|2023-12-28,NGF4,NGG4,2023-12-22,2023-12-28,6.0,-320.0000000000048,4029.999999999998,-0.08625336927223863,2,T030;T036
NGN3|NGQ3|2023-06-25|2023-06-29,NGN3,NGQ3,2023-06-25,2023-06-29,4.0,-320.00000000000034,4029.999999999994,-0.08625336927223744,2,T023;T035
NGG4|NGH4|2024-01-23|2024-01-30,NGG4,NGH4,2024-01-23,2024-01-30,7.0,-320.0,4029.9999999999936,-0.08625336927223734,2,T031;T037
NGK3|NGM3|2023-04-23|2023-04-27,NGK3,NGM3,2023-04-23,2023-04-27,4.0,299.99999999999795,3409.9999999999955,0.08086253369272196,3,T014;T023;T035
NGU4|NGV4|2024-08-25|2024-08-29,NGU4,NGV4,2024-08-25,2024-08-29,4.0,-270.00000000000136,3979.999999999995,-0.07277628032345063,4,T006;T012;T025;T038
NGM3|NGN3|2023-05-23|2023-05-28,NGM3,NGN3,2023-05-23,2023-05-28,5.0,49.99999999999909,3659.9999999999945,0.01347708894878684,2,T023;T035
