metric,value
input_strategy_roll_records,100.0
excluded_non_reconciled_records,22.0
valid_strategy_roll_records,78.0
unique_market_roll_events,18.0
strategy_records_per_unique_event,4.333333333333333
unique_total_timing_effect_pnl,3709.9999999999936
unique_mean_timing_effect_pnl,206.11111111111074
unique_median_timing_effect_pnl,329.9999999999992
unique_std_timing_effect_pnl,850.6823481866425
unique_positive_events,11.0
unique_negative_events,7.0
unique_neutral_events,0.0
unique_positive_share,0.6111111111111112
unique_mean_delay_days,5.333333333333333
unique_median_delay_days,6.0
unique_max_delay_days,7.0
integrity_failure_events,0.0
